src,trg
Write a lambda functio that gives the word count in a statement.,count _ word  =  lambda s :  len ( s . split ( ' ' )  ) 
Write a program to extract and print digits of a number in reverse order. The number is input from user.,"num  =  int ( input ( ""Enter a number with multiple digit :  "" )  ) 
n = 0
while num > 0 : 
    a  =  num % 10
    num  =  num  -  a
    num  =  num / 10
    print ( int ( a )  , end = """" ) 
    n  =  n  +  1"
Write a program that prints all the alphabets in a string and skips all other characters,"string  =  "" $ john . snow #  @ Got . bad _ ending / com""
for ch in string : 
    if  ( ch >  = 'A' and ch <  = 'Z' )  or  ( ch >  = 'a' and ch <  = 'z' )  : 
        print ( ch ,  end = '' ) 
    else : 
        pass"
Write a function that takes number of disks in tower of hanaoi problem and returns the minimum number of steps required,"def hanoi ( x )  : 
    if x  =  =  1 : 
        return 1
    else : 
        return 2 * hanoi ( x - 1 )   +  1"
Write a lambda function to convert centimeters to inches,cm _ to _ inch  =  lambda x :  x / 2 . 54
Write a lambda function to find the union of two lists,"union  =  lambda a ,  b :  list ( set ( a )  | set ( b )  ) "
Write a lambda function to find the intersection of two lists,"intersection  =  lambda a ,  b :  list ( set ( a )  & set ( b )  ) "
Write a program that adds the square of two numbers and prints it,"a  =  32
b  =  21
result  =  a *  * 2  +  b *  * 2
print ( result ) "
Write a python function to concat the input strings and there's also a choice for seperator,"def con _ str (  * args ,  sep  =  ' ' )  : 
  return sep . join ( args ) "
Write a program to print all the even numbers in a range,"r1 ,  r2  =  1 ,  28
for  _  in range ( r1 ,  r2 + 1 )  : 
  if  _  % 2  =  =  0 : 
    print (  _  ) "
write a program to display date and time,"import datetime
now  =  datetime . datetime . now (  ) 
time =  now . strftime ( "" % Y -  % m -  % d  % H :  % M :  % S"" ) 
print ( f""Current date and time  :   { time } "" ) "
write a program to return the absolute value,"num  =   - 10
print ( f'Absolute of  { num }  is  { abs ( num )  } ' ) "
write a python program to check the length of list,"sample _ list  =   [ 'a' , 'b' , 'c' ] 
print ( f'length of sample _ list is  { len ( sample _ list )  } ' ) "
write a Python program to convert Python objects into JSON strings.,"import json
python _ dict  =    { ""name"" :  ""David"" ,  ""age"" :  6 ,  ""class"" : ""I"" } 
json _ dict  =  json . dumps ( python _ dict ,  sort _ keys = True ,  indent = 4 ) 
print ( f""json dict  :   { json _ dict } "" ) "
write a Python program to create multiple list,"obj  =   {  } 
for i in range ( 1 ,  11 )  : 
    obj [ str ( i )  ]   =   [  ] 
print ( f'create multiple list :  { obj } ' ) "
write a Python program to merge two dictionaries,"d1  =   { 'a' :  100 ,  'b' :  200 } 
d2  =   { 'x' :  300 ,  'y' :  200 } 
d  =  d1 . copy (  ) 
d . update ( d2 ) 
print ( f'merge two dictionaries :  { d } ' ) "
write a Python program to Sum all the items in a dictionary,"my _ dict  =   { 'data1' : 100 , 'data2' :  - 54 , 'data3' : 247 } 
print ( f'Sum all the items in a dictionary :  { sum ( my _ dict . values (  )  )  } ' ) "
write a python program to do nothing for a condition,"if 1  +  1  =  =  2 : 
    pass  #  Nothing"
write a python program to make use of enumerate method,"for count ,  value in enumerate ( obj )  : 
    print ( count ,  value ) "
write a python program to make use of setdefault for missing dictionary keys,"a _ dict  =   { 'a' : 1 } 
a _ dict . setdefault ( 'b' , 2 ) 
print ( f'After appending with new value :  { a _ dict } ' ) "
write a python program to make use of maps,"def square ( number )  : 
    return number  *  *  2
numbers  =   [ 1 ,  2 ,  3 ,  4 ,  5 ] 
squared  =  map ( square ,  numbers ) 
print ( f'mapped numbers :  { list ( squared )  } ' ) "
write a python program to make use of modulo operator,print ( f'modulo 15  %  4 :  Sol -  >  { 15  %  4 } ' ) 
write a python program to explain enclosing and global scope,"x  =  'global'
def f (  )  : 
    x  =  'enclosing'
    def g (  )  : 
        print ( x ) 
    g (  ) 
    return x
obj1  =  f (  ) 
print ( 'explain global scope : ' , obj1 ) "
write a python program to expain local and global scope,"def f1 (  )  : 
    x  =  'enclosing'
    def g (  )  : 
        x  =  'local'
        return x
    x = g (  ) 
    return x
obj2  =  f1 (  ) 
print ( 'explain local scope : ' , obj2 ) "
write a python program to make use of regular expression for matching,"import re
print ( 'Find the characters in the given string : ' , re . findall ( r' [ a - z ]  + ' ,  '123FOO456' ,  flags = re . IGNORECASE )  ) "
write a python program to make use of regular expression for matching,"s  =  'foo123bar'
m  =  re . findall ( '123' ,  s ) 
print ( 'find the number position : ' , m ) "
write a python program to convert lower string to UPPERCASE,"a  =  'string'
print ( f'convert lowercase to uppercase :  { a . upper (  )  } ' ) "
write a python program to convert uppercase string to lower,"a  =  'STRING'
print ( f'convert lowercase to uppercase :  { a . lower (  )  } ' ) "
write a Python Program to Find the Square Root,"num  =  8 
num _ sqrt  =  num  *  *  0 . 5
print ( 'The square root of  % 0 . 3f is  % 0 . 3f' %  ( num  , num _ sqrt )  ) "
write a Python Program to Convert Kilometers to Miles,"kilometers  =  10 . 0
conv _ fac  =  0 . 621371
miles  =  kilometers  *  conv _ fac
print ( ' % 0 . 2f kilometers is equal to  % 0 . 2f miles'  %  ( kilometers , miles )  ) "
write a Python Program to Convert Celsius To Fahrenheit,"celsius  =  37 . 5
fahrenheit  =   ( celsius  *  1 . 8 )   +  32
print ( ' % 0 . 1f degree Celsius is equal to  % 0 . 1f degree Fahrenheit'  %  ( celsius , fahrenheit )  ) "
"write a Python Program to Check if a Number is Positive, Negative or 0","num  =  10
if num  >  0 : 
   print ( ""Positive number"" ) 
elif num  =  =  0 : 
   print ( ""Zero"" ) 
else : 
   print ( ""Negative number"" ) "
Python Program to Check if a Number is Odd or Even,"num  =  100
if  ( num  %  2 )   =  =  0 : 
   print ( "" { 0 }  is Even"" . format ( num )  ) 
else : 
   print ( "" { 0 }  is Odd"" . format ( num )  ) "
Python Program to Display the multiplication Table,"num  =  12
for i in range ( 1 ,  11 )  : 
   print ( num ,  'x' ,  i ,  ' = ' ,  num * i ) "
write a program for Rolling the dices,"import random
min  =  1
max  =  6
print ( ""Rolling the dices .  .  . and the values are"" , random . randint ( min ,  max )  ) 
print ( ""Rolling the dices .  .  . and the values are"" , random . randint ( min ,  max )  ) "
write a python program to calculate the average,"list1  =   [ 1 , 3 , 4 , 5 ] 
average  =   ( sum ( list1 )  )   /  len ( list1 ) 
print ( f""the average score is :    { average }  "" ) "
write a python program to print reverse list,print ( f'reverese the given list elements :  { list1 [  :  :  - 1 ]  } ' ) 
write a python program to check a num is less than 1000,"def near _ thousand ( n )  : 
      return  (  ( abs ( 1000  -  n )   <  =  100 )  or  ( abs ( 2000  -  n )   <  =  100 )  ) 
print ( 'near to 1000' , near _ thousand ( 1000 )  ) 
print ( 'near to 1300' , near _ thousand ( 1300 )  ) "
write a python program to convert lower case to upper for list of elements,"x  =   [ 'ab' ,  'cd' ] 
for i in x : 
    print ( i . upper (  )  ) "
write a python program to break when the num is perfectly divisible,"i  =  1
while True : 
    if i % 3  =  =  0 : 
        break
    print ( i ) 
    i +  =  1"
write a python program to check name exists in given list,"names1  =   [ 'Amir' ,  'Bala' ,  'Chales' ] 
for n in names1 : 
    name  =  n . lower (  ) 
    if 'amir'  =  =  name : 
        print ( 'Yes name exists : ' , name ) 
    else : 
        print ( 'No' ) "
write a python program to print a matrix as output,"matrix  =   [  [ 1 ,  2 ,  3 ,  4 ]  , 
        [ 4 ,  5 ,  6 ,  7 ]  , 
        [ 8 ,  9 ,  10 ,  11 ]  , 
        [ 12 ,  13 ,  14 ,  15 ]  ] 
for i in range ( 0 ,  4 )  : 
    print ( matrix [ i ]  [ 1 ]  ,  end  =  "" "" ) "
write a python program to expalin list comprehension and print alternative values,"t  =   ( 1 ,  2 ,  4 ,  3 ,  8 ,  9 ) 
print (  [ t [ i ]  for i in range ( 0 ,  len ( t )  ,  2 )  ]  ) "
write a python program to sort tuple values,"a =  ( 2 , 3 , 1 , 5 ) 
tuple _ sorted  =  sorted ( a ) 
print ( tuple ( tuple _ sorted )  ) "
write a python program to multiple two list values,"l1 =  [ 1 , 2 , 3 ] 
l2 =  [ 4 , 5 , 6 ] 
print ( 'multiply two list values : ' ,  [ x * y for x in l1 for y in l2 ]  ) "
write the list comprehension to pick out only negative integers from a given list ‘l’.,"l1 =  [ 1 , 2 , 3 ,  - 4 ,  - 8 ] 
print ( 'negative integers : ' ,   [ x for x in l1 if x < 0 ]  ) "
write a python program to convert all list elements to upper case,"s =  [ ""pune"" ,  ""mumbai"" ,  ""delhi"" ] 
print (  [  ( w . upper (  )  ,  len ( w )  )  for w in s ]  ) "
write a python program to expalin python zip method,"l1 =  [ 2 , 4 , 6 ] 
l2 =  [  - 2 ,  - 4 ,  - 6 ] 
for i in zip ( l1 ,  l2 )  : 
	print ( i ) "
write a python program to add two list using python zip method,"l1 =  [ 10 ,  20 ,  30 ] 
l2 =  [  - 10 ,   - 20 ,   - 30 ] 
l3 =  [ x + y for x ,  y in zip ( l1 ,  l2 )  ] 
print ( 'added two list : ' , l3 ) "
write a list comprehension for number and its cube,"l =  [ 1 ,  2 ,  3 ,  4 ,  5 ,  6 ,  7 ,  8 ,  9 ] 
print (  [ x *  * 3 for x in l ]  ) "
write a list comprehension for printing rows into columns and vv,"l =  [  [ 1  , 2 ,  3 ]  ,   [ 4 ,  5 ,  6 ]  ,   [ 7 ,  8 ,  9 ]  ] 
print (  [  [ row [ i ]  for row in l ]  for i in range ( 3 )  ]  ) "
write a list comprehension for printing rows into columns and vv,"def unpack ( a , b , c , d )  : 
    print ( a + d ) 
x  =   [ 1 , 2 , 3 , 4 ] 
unpack (  * x ) "
write a python program to use python lambda function,"lamb  =  lambda x :  x  *  *  3
print ( lamb ( 5 )  ) "
write a python program to multiply a string n times,"a  =  'python'
print ( a * 5 ) "
write a python to check two numbers are greater than or equal or less than,"def maximum ( x ,  y )  : 
    if x  >  y : 
        return x
    elif x  =  =  y : 
        return 'The numbers are equal'
    else : 
        return y
print ( maximum ( 2 ,  3 )  ) "
write a python to dict to zip and print as dictionary elements in original form,"a =  { ""a"" : 1 , ""b"" : 2 , ""c"" : 3 } 
b = dict ( zip ( a . values (  )  , a . keys (  )  )  ) 
print ( b ) "
write a python program to delete an dictionary element,"a =  { 1 : 5 , 2 : 3 , 3 : 4 } 
a . pop ( 3 ) 
print ( a ) "
write a python program to check two dictionary are equal or not,"d1  =   { ""john"" : 40 ,  ""peter"" : 45 } 
d2  =   { ""john"" : 466 ,  ""peter"" : 45 } 
d1  =  =  d2"
write a python program to print only dictionary keys as list,"d  =   { ""john"" : 40 ,  ""peter"" : 45 } 
print ( list ( d . keys (  )  )  ) "
write a python program to check two lists are equal or not,"a =  [ 1 ,  4 ,  3 ,  5 ,  2 ] 
b =  [ 3 ,  1 ,  5 ,  2 ,  4 ] 
print ( a =  = b ) "
write a python program to check two lists are equal or not,"a = frozenset ( set (  [ 5 , 6 , 7 ]  )  ) 
print ( a ) "
write a python program to sum the set of unqiue elements,"a =  { 5 , 6 , 7 } 
print ( sum ( a , 5 )  ) "
write a python program to implement try catch code,"try : 
    s =  { 5 , 6 } 
    s * 3
except Exception as e : 
    print ( e ) "
write a python program to count the len of unique elements,"nums  =  set (  [ 1 , 1 , 2 , 3 , 3 , 3 , 4 , 4 ]  ) 
print ( len ( nums )  ) "
write a python program to split in python,"print ( 'abcdefcdghcd' . split ( 'cd' ,  2 )  ) "
write a python program to add title to string,print ( 'ab cd - ef' . title (  )  ) 
write a python program to print equal lenght of string,print ( 'ab' . zfill ( 5 )  ) 
write a python program to use string replace,"print ( 'abcdef12' . replace ( 'cd' ,  '12' )  ) "
write a python program to check string istitle,"str1  =  'Hello ! 2 @  # World'
if str1 . istitle (  )  : 
    print ( 'Yes string is title' ) "
write a python program to do lstrip on string,print ( 'xyyzxxyxyy' . lstrip ( 'xyy' )  ) 
write a python program to check identifier/keyword,print ( 'for' . isidentifier (  )  ) 
write a python program to check is an num/int,print ( '11' . isnumeric (  )  ) 
write a python program to check is an variable is printable,print ( '1 @  a' . isprintable (  )  ) 
write a python program to check it contains any space,print ( '''''' . isspace (  )  ) 
write a python program to check is an title,print ( 'HelloWorld' . istitle (  )  ) 
write a python program to check is all are num/int,"print ( 'ab , 12' . isalnum (  )  ) "
write a python program to check is all are alphanumeric,print ( 'ab' . isalpha (  )  ) 
write a python program to check is all are digit,print ( '0xa' . isdigit (  )  ) 
write a python program to use f string,"var1  =  'python language'
print ( f'f - string is an good feature in  { var1 } ' ) "
write a python program to iterate an dict and concatenate,"D = dict ( p = 'san' ,  q = 'foundry' ) 
print ( ' { p }  { q } ' . format (  *  * D )  ) "
write a python program to replace blank space to 1,"a = '1 0 0 1'
print ( a . replace ( ' ' ,  '1' )  ) "
write a python program to explain the generator,"def f11 ( x )  : 
    yield x + 1
g = f11 ( 8 ) 
print ( next ( g )  ) "
write a python program to replace blank space to 1,"def f12 ( x )  : 
    yield x + 1
    print ( ""test"" ) 
    yield x + 2
g = f12 ( 9 ) 
print ( next ( g )  ) "
write a python program to replace blank space to 1,"a  =  re . compile ( ' [ 0 - 9 ] ' ) 
z =  a . findall ( '3 trees' ) 
print ( z ) "
write a python program to print current working directory,"import os
print ( os . getcwd (  )  ) "
write a python program to print the ascii value of a string,print (  [ ord ( ch )  for ch in 'abc' ]  ) 
write a python program to use extend in list/ append to a list,"a =  [ 13 , 56 , 17 ] 
a . append (  [ 87 ]  ) 
a . extend (  [ 45 , 67 ]  ) 
print ( a ) "
write a python program to replace blank space to 1,"my _ string  =  'balaji'
k  =   [ print ( i )  for i in my _ string if i not in ""aeiou"" ] 
print ( 'Not a vowel' , k ) "
write a python program to add and square a range of number,x  =   [ i *  *  + 1 for i in range ( 3 )  ]  ;  print ( x ) 
write a python program to replace blank space to 1,"print (  [ i + j for i in ""abc"" for j in ""def"" ]  ) "
write a python program to multiply two list with list comprehensive,"l1 =  [ 1 , 2 , 3 ] 
l2 =  [ 4 , 5 , 6 ] 
print (  [ x * y for x in l1 for y in l2 ]  ) "
write a python program to print only digit or only apha charac in a given list,"l =  [ ""good"" ,  ""oh ! "" ,  ""excellent ! "" ,  "" # 450"" ] 
print (  [ n for n in l if n . isalpha (  )  or n . isdigit (  )  ]  ) "
write a python program to print todays date,"tday = datetime . date . today (  ) 
print ( tday ) "
write a python program to check tuple are immutable,"a =  ( 1 , 2 , 3 ) 
try : 
    a  =  a + 1
except Exception as e : 
    print ( e ) "
write a python program to calculate factorial sum using list comprehensive,"import functools 
n  = 5
print ( functools . reduce ( lambda x ,  y :  x  *  y ,  range ( 1 ,  n + 1 )  )  ) "
write a python program to print len of each characters,"words  =   [ 'cat' ,  'window' ,  'defenestrate' ] 
for w in words : 
    print ( w ,  len ( w )  ) "
write a python program to make increment on each call of method using lambda function,"def make _ incrementor ( n )  : 
    return lambda x :  x  +  n
f  =  make _ incrementor ( 42 ) 
f ( 0 ) 
print ( f ( 1 )  ) "
write a python program to sort using list comprehensive,"pairs  =   [  ( 1 ,  'one' )  ,   ( 2 ,  'two' )  ,   ( 3 ,  'three' )  ,   ( 4 ,  'four' )  ] 
pairs . sort ( key = lambda pair :  pair [ 1 ]  ) 
print ( pairs ) "
write a python program to del the first element of the array/list,"a  =   [  - 1 ,  1 ,  66 . 25 ,  333 ,  333 ,  1234 . 5 ] 
del a [ 0 ] 
print ( a ) "
write a python program to replace the first character of a given word,"word  =  ""goal""
word  =  ""f""  +  word [ 1 :  ] 
print ( word ) "
write a python program to find a string in a given phrase,"phrase  =  ""the surprise is in here somewhere""
print ( phrase . find ( ""surprise"" )  ) "
write a python program to expalin the use of f-string,"n  =  3
m  =  4
print ( f"" { n }  times  { m }  is  { n * m } "" ) "
write a python program to explain the use of assert,"x = 1
y = 8
assert x > y ,  'X too small'"
write a python program to multiply three numbers,"num1  =  1 . 5
num2  =  6 . 3
num3  =   - 2 . 3
product  =  num1  *  num2  *  num3
print ( f'Product :   { product } ' ) "
"write a python function that when given two numbers, would divide the first number by second number and return the quotient and remainder","def divide _ first _ number _ by _ second ( num1 ,  num2 )  : 
    return  ( num1  /  /  num2 )  ,   ( num1  %  num2 ) "
write a python function to return the largest and smallest numbers in the given list and return None if the list is empty,"def largest _ and _ smallest ( list _ of _ nums )  : 
    if list _ of _ nums : 
        return max ( list _ of _ nums )  ,  min ( list _ of _ nums ) 
    else : 
        return"
"write a recursive python function to print the nth fibonacci number, where n is provided as the argument","def fibonacci _ recursive ( n )  : 
   if n  <  =  1 : 
       return n
   else : 
       return  ( recur _ fibo ( n - 1 )   +  recur _ fibo ( n - 2 )  ) "
write a python function that would read the given input file path and print its contents,"def read _ and _ print _ file ( filepath )  : 
    with open ( filepath ,  ""r"" )  as infile : 
        print (  infile . read (  )   ) "
write a python program that would print the first n positive integers using a for loop,"n  =  62
for num in range ( n )  : 
    print ( num ) "
write a python function that returns the input list sorted in ascending order,"def sort _ ascending ( list _ to _ be _ sorted )  : 
    return sorted ( list _ to _ be _ sorted ) "
write a python function that returns the input list sorted in descending order,"def sort _ descending ( list _ to _ be _ sorted )  : 
    return sorted ( list _ to _ be _ sorted ,  reverse = True ) "
"write a python function that would return the sum of first n natural numbers, where n is the input","def sum _ first _ n ( n )  : 
    return  (  n  *   ( n + 1 )   )   /  /  2"
"write a recursive python function that would return the sum of first n natural numbers, where n is the input","def sum _ first _ n _ recursive ( n )  : 
    if n  =  =  0 : 
        return 0
    return sum _ first _ n _ recursive ( n - 1 )   +  n"
"write a python function that would filter a list of dictionaries where a specified key equals given value, list_of_dictionaries, key and value are inputs to this function.","def filter _ with _ key _ value ( list _ of _ dicts ,  key ,  value )  : 
    return list (  filter (  lambda x :  x . get ( key )   =  =  value ,  list _ of _ dicts  )   ) "
write a python function that returns the square of a given input number,"def square ( x )  : 
    return x *  * 2"
write a python program that asks for user input and prints the given input,"a  =  input ( ""User Input"" ) 
print ( a ) "
write a python function shifts and scales all numbers in the given list by the given mean and standard deviation,"def shift _ and _ scale ( list _ of _ nums ,  mean ,  std )  : 
    return  [   ( x - mean )   /  std for x in list _ of _ nums  ] "
write a python function that takes in a list of sequences and zips each corresponding element from the list into a tuple and returns the list of such tuples,"def zip _  ( list _ of _ seq )  : 
    return list ( zip (  * list _ of _ seq )  ) "
write python program that would merge two dictionaries by adding the second one into the first,"a  =   { ""a"" :  1 ,  ""b"" :  3 } 
b  =   { ""c"" :  1 ,  ""d"" :  3 } 
a . update ( b ) "
write a python function that would reverse the given string,"def reverse _ string ( str _ to _ be _ reversed )  : 
    return str _ to _ be _ reversed [  :  :  - 1 ] "
"write a python program that would print ""Hello World""","print ( ""Hello World"" ) "
write a python program that would swap variable values,"a  =  10
b  =  15
a ,  b  =  b ,  a"
write a python program that iterates over a dictionary and prints its keys and values,"a  =   { ""a"" : 1 ,  ""b"" : 2 ,  ""c"" : 3 ,  ""d"" : 4 } 
for k ,  v in a . items (  )  : 
    print ( k ,  v ) "
write a python function that would print the ASCII value of a given character,"def print _ ascii ( char )  : 
    print ( ord ( char )  ) "
write a python function that takes in two numbers and returns their HCF,"def hcf ( num1 ,  num2 )  : 
    smaller  =  num1 if num1  <  num2 else num2
    for i in range ( 1 ,  smaller + 1 )  : 
        if  ( num1  %  i  =  =  0 )  and  ( num2  %  i  =  =  0 )  : 
            hcf  =  i
    return hcf"
write a python function that takes in two numbers and returns their LCM,"def lcm ( num1 ,  num2 )  : 
    bigger  =  num1 if num1  >  num2 else num2
    while True : 
        if  ( bigger  %  num1  =  =  0 )  and  ( bigger  %  num2  =  =  0 )  : 
            break
        bigger  +  =  1
    return bigger"
"write a recursive python function to calculate sum of natural numbers upto n, where n is an argument","def recursive _ sum ( n )  : 
    if n  <  =  1 : 
        return n
    else : 
        return n  +  recursive _ sum ( n - 1 ) "
write a python function that deletes the last element of a list and returns the list and the deleted element,"def delete _ last _ element ( list _ to _ be _ processed )  : 
    deleted _ element  =  list _ to _ be _ processed . pop (  ) 
    return list _ to _ be _ processed ,  deleted _ element"
write a python function that takes in a list and returns a list containing the squares of the elements of the input list,"def square _ list _ elements ( list _ to _ be _ squared )  : 
    return list (  map ( lambda x :  x *  * 2 ,  list _ to _ be _ squared )   ) "
write a python program that prints out natural numbers less than or equal to the given number using a while loop,"input _ num  =  27
while input _ num : 
    print ( input _ num ) 
    input _ num  -  =  1"
"write a python function that takes two numbers. The function divides the first number by the second and returns the answer. The function returns None, if the second number is 0","def divide ( num1 ,  num2 )  : 
    if num2  =  =  0 : 
        return
    else : 
        return num1  /  num2"
write a python program uses else with for loop,"seq  =  ""abcde""
for k in seq : 
    if k  =  =  ""f"" : 
        break
else : 
    print ( ""f Not Found ! "" ) "
